"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24480","25060","25860","26030","25510","25860","25940","24600","24150","23820","23690","23200","24040","24480","25500","21950","25460","30180","30770","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62770","64370","43820","38230","36670","37970","41510","45560","50130","53880","45150","57130","54040","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13260","13460","14650","14750","15610","16220","16480","16800","19320","18530","19460","21240","22340","23290","24490","26320","28350","30780","34260","33790","33030","34280","31700","30050","29350","31720","34460","37250","39450","42700","40440","44460","51500","51730","54660",
"Czechia","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12640","11570","11850","12210","12830","13840","14560","14680","14840","15210","16010","17210","17690","18950","20000","21090","22430","24580","26230","25780","25980","26910","27640","29110","30570","31600","33740","36850","39260","42790","42530","46400","49610","52450","54340",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19720","21120","21830","21960","22840","23580","24160","24600","25300","26330","27300","28470","29200","29990","31950","32580","35330","37440","38810","38390","40520","44510","45290","46960","48940","49510","53040","55480","58480","61460","60170","64640","70040","71100","74880",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3710","3940","4220","4300","4460","4840","5230","5350","5850","6750","7460","7850",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4570","4760","4980","5230","5260","5500","5690","5970","6340","6290","6360","6810","6630","7160","7540","7920","8870","9510","10450","10520","10730","10900","10720","10880","11740","11630","12510","12770","15100","15780","14480","15820","18890","20270","21380",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17590","18370","19180","19700","21180","22250","23250","24430","25430","26360","27990","29030","30290","30590","33060","34510","37850","39300","41930","40910","43750","45380","45770","48350","49620","50420","53120","56490","58840","62360","64710","72470","79860","75840","82240",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3510","3580","3990","4240","4380","4650","4960","5400","5720","6030","6350","6560","6850","6630","6780","7780","8680","9460","9970","10010","10840","11240","11310","11820","12810","14190","15580","16040","17210","18860","18070","20960","23690","24670","26050",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7350","7190","7390","7290","7180","7370","7650","7780","8180","8400","8770","9290","9720","10440","10990","11720","12330","13160","13570","13550","14190","14520","14300","14140","14420","13520","13350","13340","13430","13610","12470","14210","15470","16580","17220",
